Employee_ID,Employee_Name,Department,Designation,Employment_Status,Bank_Account_Number,Month,Present_Days,Overtime_Hours,Basic_Salary,HRA,Gross_Salary,Deductions,Net_Salary,Paid_Amount
E1028,Employee_29,IT,Executive,Active,65361629036,2024-10,24,27,35262,14104,49366,939,48427,48427
E1029,Employee_30,Operations,Officer,Active,82232142832,2024-06,0,55,38616,15446,54062,3287,50775,50775
E1030,Employee_31,HR,Officer,Active,29370939781,2024-12,6,1,26139,10455,36594,2811,33783,33783
E1031,Employee_32,Finance,Executive,Active,90471537228,2024-09,24,58,37715,15086,52801,1476,51325,51325
E1032,Employee_33,IT,Analyst,Active,27052030971,2024-01,11,7,37419,14967,52386,1234,51152,51152
E1033,Employee_34,Finance,Executive,Active,39774099527,2024-11,9,28,30702,12280,42982,2968,40014,40014
E1034,Employee_35,Finance,Officer,Active,32040284350,2024-11,4,10,21523,8609,30132,3040,27092,27092
E1035,Employee_36,IT,Analyst,Active,35145759863,2024-10,11,36,27397,10958,38355,1132,37223,37223
E1036,Employee_37,Finance,Analyst,Active,63285755637,2024-12,17,17,23111,9244,32355,1492,30863,30863
E1037,Employee_38,IT,Executive,Active,18174142159,2024-12,9,54,17401,6960,24361,2958,21403,21403
E1038,Employee_39,HR,Officer,Active,42464652534,2024-03,5,49,24481,9792,34273,672,33601,33601
E1039,Employee_40,IT,Officer,Active,41658932029,2024-12,11,13,25067,10026,35093,503,34590,34590
E1040,Employee_41,IT,Analyst,Inactive,66920335903,2024-07,6,53,28376,11350,39726,3401,36325,36325
E1041,Employee_42,Operations,Executive,Active,22622457737,2024-04,17,9,28824,11529,40353,2163,38190,38190
E1042,Employee_43,IT,Manager,Active,22429571839,2024-09,1,34,28444,11377,39821,3533,36288,36288
E1043,Employee_44,IT,Manager,Active,81852499770,2024-03,9,8,27879,11151,39030,2515,36515,36515
E1044,Employee_45,HR,Officer,Active,45444844830,2024-05,14,34,31112,12444,43556,1995,41561,41561
E1045,Employee_46,Operations,Manager,Active,38299252094,2024-03,11,10,15539,6215,21754,3681,18073,18073
E1046,Employee_47,Sales,Officer,Active,64217424428,2024-07,25,43,25974,10389,36363,1560,34803,34803
E1047,Employee_48,HR,Officer,Active,83244286896,2024-05,16,11,28846,11538,40384,3130,37254,37254
E1048,Employee_49,HR,Officer,Active,93221563891,2024-09,3,2,20615,8246,28861,1554,27307,27307
E1049,Employee_50,Sales,Manager,Active,62536279376,2024-07,6,52,31016,12406,43422,880,42542,42542
E1050,Employee_51,IT,Officer,Active,12380861312,2024-02,8,38,17956,7182,25138,1791,23347,23347
E1051,Employee_52,Finance,Analyst,Active,70986410956,2024-04,18,13,23077,9230,32307,3582,28725,28725
E1052,Employee_53,Operations,Executive,Active,79981978519,2024-09,22,55,18722,7488,26210,2891,23319,23319
E1053,Employee_54,Finance,Executive,Active,87088233178,2024-12,6,27,27059,10823,37882,2092,35790,35790
E1054,Employee_55,Sales,Officer,Active,65596915990,2024-02,22,10,20087,8034,28121,665,27456,27456
E1055,Employee_56,HR,Executive,Active,68454253895,2024-10,1,38,25338,10135,35473,3247,32226,32226
E1056,Employee_57,HR,Manager,Active,44035564858,2024-09,5,24,37844,15137,52981,2889,50092,50092
E1057,Employee_58,Operations,Manager,Active,35797442788,2024-10,17,20,17170,6868,24038,1542,22496,22496
E1058,Employee_59,HR,Executive,Active,82037408923,2024-05,5,9,18391,7356,25747,2151,23596,23596
E1059,Employee_60,HR,Manager,Active,77067003766,2024-02,12,42,21942,8776,30718,3527,27191,27191
E1060,Employee_61,Operations,Executive,Active,17560964853,2024-04,25,14,33000,13200,46200,1707,44493,44493
E1061,Employee_62,Operations,Executive,Active,85217427966,2024-12,18,18,28806,11522,40328,1044,39284,39284
E1062,Employee_63,Sales,Executive,Active,81743491357,2024-12,1,47,29792,11916,41708,3581,38127,38127
E1063,Employee_64,HR,Officer,Active,39786337292,2024-07,11,21,27809,11123,38932,2739,36193,36193
E1064,Employee_65,HR,Executive,Active,64436132010,2024-12,14,20,29855,11942,41797,2867,38930,38930
E1065,Employee_66,Sales,Officer,Active,99175947869,2024-08,13,59,24108,9643,33751,3127,30624,30624
E1066,Employee_67,IT,Executive,Inactive,96094562927,2024-03,5,51,21458,8583,30041,3022,27019,27019
E1067,Employee_68,IT,Executive,Active,41038617042,2024-01,17,43,17756,7102,24858,3184,21674,21674
E1068,Employee_69,IT,Executive,Active,94482146446,2024-04,4,31,21853,8741,30594,2974,27620,27620
E1069,Employee_70,Sales,Manager,Active,46371201203,2024-02,17,49,22709,9083,31792,3630,28162,28162
E1070,Employee_71,HR,Officer,Active,51977089387,2024-08,2,22,33320,13328,46648,596,46052,46052
E1071,Employee_72,Sales,Officer,Active,92800401309,2024-04,2,12,34475,13790,48265,3043,45222,45222
E1072,Employee_73,Sales,Executive,Active,13663529784,2024-02,21,4,27847,11138,38985,3208,35777,35777
E1073,Employee_74,IT,Executive,Inactive,95591755400,2024-06,21,3,32352,12940,45292,1801,43491,43491
E1074,Employee_75,Finance,Manager,Active,13418825771,2024-06,9,27,22297,8918,31215,3836,27379,27379
E1075,Employee_76,HR,Manager,Active,21827197770,2024-10,18,13,31256,12502,43758,2556,41202,41202
E1076,Employee_77,IT,Manager,Active,15220536015,2024-04,2,7,18203,7281,25484,956,24528,24528
E1077,Employee_78,Finance,Officer,Active,45802877727,2024-06,11,8,21499,8599,30098,2318,27780,27780
E1078,Employee_79,Finance,Officer,Active,72129633419,2024-02,15,56,20173,8069,28242,772,27470,27470
E1079,Employee_80,Operations,Officer,Active,13321646316,2024-10,16,50,32273,12909,45182,3487,41695,41695
E1080,Employee_81,HR,Executive,Active,69764323320,2024-12,6,34,26650,10660,37310,1531,35779,35779
E1081,Employee_82,Finance,Officer,Active,44026309274,2024-02,12,36,24173,9669,33842,707,33135,33135
E1082,Employee_83,IT,Analyst,Active,12623240298,2024-10,23,20,22382,8952,31334,2437,28897,28897
E1083,Employee_84,Operations,Analyst,Inactive,40923082793,2024-04,1,57,34915,13966,48881,2160,46721,46721
E1084,Employee_85,HR,Manager,Active,55391211110,2024-08,3,17,15801,6320,22121,1646,20475,20475
E1085,Employee_86,Sales,Officer,Inactive,55747911518,2024-07,9,32,23234,9293,32527,1556,30971,30971
E1086,Employee_87,IT,Analyst,Active,79624776160,2024-12,6,7,28897,11558,40455,2036,38419,38419
E1087,Employee_88,Finance,Manager,Active,99485926823,2024-09,23,50,30197,12078,42275,703,41572,41572
E1088,Employee_89,Finance,Officer,Active,33046304085,2024-08,16,48,34733,13893,48626,3065,45561,45561
E1089,Employee_90,IT,Executive,Active,84380456549,2024-05,19,16,39389,15755,55144,2332,52812,52812
E1090,Employee_91,Finance,Analyst,Inactive,30398629356,2024-02,5,42,24969,9987,34956,3064,31892,31892
E1091,Employee_92,Operations,Executive,Active,45574359984,2024-05,18,30,18201,7280,25481,942,24539,24539
E1092,Employee_93,HR,Officer,Inactive,20387731826,2024-08,4,33,31733,12693,44426,1188,43238,43238
E1093,Employee_94,Operations,Analyst,Active,54206021463,2024-10,9,5,24972,9988,34960,3397,31563,31563
E1094,Employee_95,Finance,Officer,Active,80146288788,2024-09,8,21,15583,6233,21816,1332,20484,20484
E1095,Employee_96,Sales,Executive,Active,88571169217,2024-12,12,13,27719,11087,38806,2886,35920,35920
E1096,Employee_97,HR,Analyst,Active,90045712230,2024-12,18,2,18377,7350,25727,1961,23766,23766
E1097,Employee_98,HR,Executive,Active,81525737477,2024-12,20,11,37412,14964,52376,1659,50717,50717
E1098,Employee_99,IT,Officer,Active,88135376055,2024-09,23,35,39078,15631,54709,886,53823,53823
E1099,Employee_100,IT,Officer,Active,32744663067,2024-01,5,11,37580,15032,52612,2541,50071,50071
E1100,Employee_101,Sales,Executive,Active,16956197413,2024-09,3,44,38467,15386,53853,3596,50257,50257
E1101,Employee_102,HR,Analyst,Active,89484083443,2024-07,23,1,29855,11942,41797,3053,38744,38744
E1102,Employee_103,Sales,Executive,Active,24389915349,2024-09,2,1,18401,7360,25761,1848,23913,23913
E1103,Employee_104,IT,Officer,Active,54408975011,2024-08,2,14,28636,11454,40090,2218,37872,37872
E1104,Employee_105,IT,Executive,Active,94516855353,2024-01,3,22,34569,13827,48396,1179,47217,47217
E1105,Employee_106,HR,Officer,Active,45849602275,2024-12,24,28,36669,14667,51336,3909,47427,47427
E1106,Employee_107,Operations,Executive,Active,69246843986,2024-08,4,16,30738,12295,43033,1189,41844,41844
E1107,Employee_108,Finance,Analyst,Active,19200916205,2024-08,7,31,21772,8708,30480,3432,27048,27048
E1108,Employee_109,IT,Analyst,Active,41409796791,2024-11,15,6,39874,15949,55823,3666,52157,52157
E1109,Employee_110,IT,Executive,Inactive,10382207913,2024-03,21,29,34731,13892,48623,2068,46555,46555
E1110,Employee_111,Operations,Executive,Active,87273746223,2024-01,2,27,25131,10052,35183,3170,32013,32013
E1111,Employee_112,Operations,Analyst,Active,42388360800,2024-08,23,13,15788,6315,22103,1669,20434,20434
E1112,Employee_113,Sales,Officer,Active,44097730007,2024-03,11,43,36329,14531,50860,1392,49468,49468
E1113,Employee_114,Sales,Analyst,Active,76369329521,2024-03,24,29,31184,12473,43657,1452,42205,42205
E1114,Employee_115,Finance,Officer,Active,23737414565,2024-01,7,16,17889,7155,25044,1754,23290,23290
E1115,Employee_116,Finance,Executive,Active,57952815002,2024-11,12,31,24569,9827,34396,1283,33113,33113
E1116,Employee_117,HR,Executive,Active,45390484846,2024-05,3,45,36657,14662,51319,2546,48773,48773
E1117,Employee_118,Sales,Officer,Active,77474505911,2024-10,13,5,25141,10056,35197,2371,32826,32826
E1118,Employee_119,IT,Executive,Inactive,58416951582,2024-07,13,50,34656,13862,48518,994,47524,47524
E1119,Employee_120,Sales,Officer,Active,67762065132,2024-10,12,23,36618,14647,51265,3609,47656,47656
E1120,Employee_121,IT,Manager,Active,15108405826,2024-09,5,5,26934,10773,37707,3996,33711,33711
E1121,Employee_122,Operations,Analyst,Active,52540647496,2024-12,16,26,24769,9907,34676,1246,33430,33430
E1122,Employee_123,Sales,Manager,Active,49415741650,2024-07,3,17,38286,15314,53600,2984,50616,50616
E1123,Employee_124,Operations,Officer,Active,19853800599,2024-09,7,23,22612,9044,31656,2354,29302,29302
E1124,Employee_125,Finance,Analyst,Active,27672918210,2024-08,16,36,33876,13550,47426,3939,43487,43487
E1125,Employee_126,Finance,Officer,Active,77792649328,2024-12,2,55,31205,12482,43687,2892,40795,40795
E1126,Employee_127,HR,Analyst,Active,72115497122,2024-02,16,23,38129,15251,53380,3731,49649,49649
E1127,Employee_128,Sales,Analyst,Active,60959626344,2024-01,8,37,28934,11573,40507,3097,37410,37410
E1128,Employee_129,Operations,Analyst,Active,96970760747,2024-07,1,33,25095,10038,35133,3367,31766,31766
E1129,Employee_130,IT,Analyst,Inactive,17972028374,2024-07,24,39,19240,7696,26936,3088,23848,23848
E1130,Employee_131,Finance,Officer,Inactive,94857663627,2024-08,12,46,33706,13482,47188,2691,44497,44497
E1131,Employee_132,Finance,Analyst,Active,11890034933,2024-05,19,14,25748,10299,36047,3135,32912,32912
E1132,Employee_133,IT,Analyst,Active,82252064371,2024-03,1,10,20298,8119,28417,1156,27261,27261
E1133,Employee_134,Operations,Manager,Active,10502182771,2024-12,19,21,16861,6744,23605,2382,21223,21223
E1134,Employee_135,Operations,Executive,Active,34404662012,2024-08,10,53,29142,11656,40798,2892,37906,37906
E1135,Employee_136,Sales,Executive,Active,74209330169,2024-06,25,23,38004,15201,53205,3840,49365,49365
E1136,Employee_137,Sales,Manager,Active,94756382670,2024-11,21,0,35431,14172,49603,3243,46360,46360
E1137,Employee_138,HR,Manager,Active,68550017048,2024-03,14,17,38965,15586,54551,2296,52255,52255
E1138,Employee_139,Finance,Officer,Active,98405910487,2024-01,10,43,22320,8928,31248,767,30481,30481
E1139,Employee_140,Sales,Officer,Active,28705147973,2024-03,22,11,26367,10546,36913,2716,34197,34197
E1140,Employee_141,Operations,Officer,Inactive,78913820522,2024-05,2,56,32482,12992,45474,2262,43212,43212
E1141,Employee_142,IT,Manager,Active,75360420203,2024-03,2,42,20247,8098,28345,2580,25765,25765
E1142,Employee_143,Operations,Manager,Active,70194726358,2024-01,25,27,16734,6693,23427,876,22551,22551
E1143,Employee_144,Finance,Analyst,Inactive,25382069338,2024-05,11,39,19663,7865,27528,3785,23743,23743
E1144,Employee_145,Operations,Officer,Active,83469080212,2024-10,23,59,20909,8363,29272,2085,27187,27187
E1145,Employee_146,HR,Officer,Active,20354552359,2024-07,4,6,34800,13920,48720,1963,46757,46757
E1146,Employee_147,Finance,Officer,Active,85422115977,2024-07,19,22,27818,11127,38945,2940,36005,36005
E1147,Employee_148,IT,Executive,Active,79074816711,2024-11,6,20,37686,15074,52760,988,51772,51772
E1148,Employee_149,HR,Analyst,Active,27603942265,2024-09,6,33,38977,15590,54567,1221,53346,53346
E1149,Employee_150,Finance,Officer,Active,61864569524,2024-10,12,10,32064,12825,44889,1445,43444,43444
E1150,Employee_151,IT,Officer,Active,64052500325,2024-10,8,21,23163,9265,32428,3600,28828,28828
E1151,Employee_152,HR,Officer,Active,48206731834,2024-12,24,41,33454,13381,46835,2586,44249,44249
E1152,Employee_153,HR,Executive,Active,77789616641,2024-03,20,34,28358,11343,39701,2135,37566,37566
E1153,Employee_154,Finance,Executive,Active,13005210983,2024-07,12,51,21668,8667,30335,3744,26591,26591
E1154,Employee_155,Sales,Manager,Active,60994614182,2024-01,11,28,28016,11206,39222,1540,37682,37682
E1155,Employee_156,HR,Analyst,Active,44496225894,2024-04,12,41,23001,9200,32201,3627,28574,28574
E1156,Employee_157,HR,Manager,Inactive,96930441911,2024-04,23,27,24921,9968,34889,2773,32116,32116
E1157,Employee_158,IT,Analyst,Active,70749345441,2024-05,9,58,17191,6876,24067,2614,21453,21453
E1158,Employee_159,Operations,Executive,Active,91721416536,2024-07,0,17,23859,9543,33402,3768,29634,29634
E1159,Employee_160,Finance,Officer,Active,59493427072,2024-07,24,13,38970,15588,54558,2177,52381,52381
E1160,Employee_161,Finance,Manager,Active,44314348132,2024-11,7,17,23872,9548,33420,3382,30038,30038
E1161,Employee_162,Sales,Officer,Inactive,72596729216,2024-04,21,27,34230,13692,47922,3594,44328,44328
E1162,Employee_163,Sales,Manager,Active,10592212728,2024-07,15,23,33847,13538,47385,1498,45887,45887
E1163,Employee_164,Finance,Executive,Active,99099867470,2024-11,12,7,38221,15288,53509,2277,51232,51232
E1164,Employee_165,Sales,Executive,Active,79047783445,2024-03,2,41,19922,7968,27890,2784,25106,25106
E1165,Employee_166,IT,Executive,Active,35322629730,2024-06,2,53,19392,7756,27148,1456,25692,25692
E1166,Employee_167,Finance,Manager,Active,64949508303,2024-12,23,44,34567,13826,48393,3466,44927,44927
E1167,Employee_168,Sales,Analyst,Active,40744681149,2024-02,4,52,28541,11416,39957,2089,37868,37868
E1168,Employee_169,Finance,Manager,Active,70351960848,2024-10,25,7,34551,13820,48371,1661,46710,46710
E1169,Employee_170,Operations,Analyst,Active,81113107445,2024-09,10,3,34381,13752,48133,3020,45113,45113
E1170,Employee_171,HR,Manager,Active,82304017573,2024-05,6,26,30015,12006,42021,2368,39653,39653
E1171,Employee_172,Finance,Manager,Active,80258512367,2024-06,20,35,37905,15162,53067,1052,52015,52015
E1172,Employee_173,HR,Executive,Active,69755418028,2024-12,23,4,18227,7290,25517,2133,23384,23384
E1173,Employee_174,Sales,Officer,Inactive,33904448674,2024-12,9,32,37948,15179,53127,1194,51933,51933
E1174,Employee_175,HR,Officer,Active,66619146765,2024-12,9,48,17024,6809,23833,3800,20033,20033
E1175,Employee_176,Finance,Analyst,Active,70729114695,2024-12,19,33,31713,12685,44398,816,43582,43582
E1176,Employee_177,Operations,Officer,Active,79903845790,2024-04,1,29,17486,6994,24480,3145,21335,21335
E1177,Employee_178,Sales,Manager,Active,96776579063,2024-11,2,7,16155,6462,22617,1267,21350,21350
E1178,Employee_179,Finance,Manager,Active,18661902395,2024-10,7,38,25082,10032,35114,3433,31681,31681
E1179,Employee_180,Sales,Executive,Active,34391974596,2024-07,10,46,19477,7790,27267,3108,24159,24159
E1180,Employee_181,IT,Executive,Active,80526632342,2024-12,12,25,33569,13427,46996,3772,43224,43224
E1181,Employee_182,HR,Officer,Active,28519049177,2024-09,6,56,22086,8834,30920,2471,28449,28449
E1182,Employee_183,IT,Analyst,Active,92677141893,2024-07,12,36,17317,6926,24243,2805,21438,21438
E1183,Employee_184,Finance,Officer,Active,34284432954,2024-01,1,33,18621,7448,26069,2003,24066,24066
E1184,Employee_185,Operations,Officer,Active,84440844675,2024-01,5,6,19491,7796,27287,3749,23538,23538
E1185,Employee_186,Sales,Officer,Inactive,82705643768,2024-09,8,39,30916,12366,43282,3304,39978,39978
E1186,Employee_187,HR,Officer,Active,69463230925,2024-11,19,27,30248,12099,42347,622,41725,41725
E1187,Employee_188,Sales,Manager,Inactive,62501605254,2024-09,24,38,17511,7004,24515,2889,21626,21626
E1188,Employee_189,Finance,Analyst,Active,90631878206,2024-04,1,38,39226,15690,54916,3742,51174,51174
E1189,Employee_190,Sales,Manager,Active,53138824942,2024-09,17,27,24546,9818,34364,2368,31996,31996
E1190,Employee_191,HR,Analyst,Active,60222492066,2024-03,15,13,30612,12244,42856,2171,40685,40685
E1191,Employee_192,Finance,Executive,Active,81503628706,2024-07,24,52,22848,9139,31987,1582,30405,30405
E1192,Employee_193,Sales,Officer,Active,88303610771,2024-06,11,49,29274,11709,40983,2228,38755,38755
E1193,Employee_194,Operations,Manager,Active,25811290786,2024-08,6,37,36788,14715,51503,2807,48696,48696
E1194,Employee_195,Finance,Analyst,Active,74625453099,2024-11,6,3,36777,14710,51487,3944,47543,47543
E1195,Employee_196,Finance,Executive,Active,41437666199,2024-09,16,41,32677,13070,45747,2496,43251,43251
E1196,Employee_197,Operations,Executive,Active,82581770566,2024-05,12,17,17465,6986,24451,2642,21809,21809
E1197,Employee_198,IT,Officer,Active,57082554417,2024-01,10,43,31304,12521,43825,1648,42177,42177
E1198,Employee_199,HR,Analyst,Active,11907460450,2024-03,5,47,30669,12267,42936,2588,40348,40348
E1199,Employee_200,IT,Manager,Active,63823074245,2024-10,22,24,26294,10517,36811,2414,34397,34397
E1200,Employee_201,Sales,Officer,Active,67029003172,2024-12,13,6,18175,7270,25445,753,24692,24692
E1201,Employee_202,Operations,Manager,Active,75356329422,2024-08,5,37,22849,9139,31988,506,31482,31482
E1202,Employee_203,IT,Executive,Active,71366515709,2024-11,5,27,27473,10989,38462,3275,35187,35187
E1203,Employee_204,Finance,Manager,Active,25274312487,2024-06,1,4,24425,9770,34195,2616,31579,31579
E1204,Employee_205,Sales,Manager,Active,62484881241,2024-08,21,2,27222,10888,38110,3652,34458,34458
E1205,Employee_206,Sales,Officer,Active,64589527233,2024-09,19,43,23444,9377,32821,1041,31780,31780
E1206,Employee_207,IT,Manager,Active,54076427422,2024-04,24,30,23210,9284,32494,3833,28661,28661
E1207,Employee_208,IT,Officer,Active,45704278502,2024-01,14,46,17759,7103,24862,588,24274,24274
E1208,Employee_209,Operations,Executive,Active,65132341185,2024-01,16,41,31091,12436,43527,2438,41089,41089
E1209,Employee_210,HR,Officer,Active,40280440390,2024-10,7,57,36639,14655,51294,3779,47515,47515
E1210,Employee_211,IT,Officer,Active,88939852902,2024-04,4,19,39798,15919,55717,712,55005,55005
E1211,Employee_212,IT,Analyst,Inactive,50014435452,2024-12,16,18,15002,6000,21002,3381,17621,17621
E1212,Employee_213,Finance,Manager,Active,18982383389,2024-07,19,47,39514,15805,55319,765,54554,54554
E1213,Employee_214,Sales,Executive,Inactive,50006872293,2024-02,0,59,32643,13057,45700,3459,42241,42241
E1214,Employee_215,HR,Officer,Active,83199352689,2024-03,21,10,23190,9276,32466,2840,29626,29626
E1215,Employee_216,Finance,Executive,Active,30534083444,2024-01,17,39,35707,14282,49989,1730,48259,48259
E1216,Employee_217,Operations,Analyst,Active,56787632509,2024-05,14,2,30248,12099,42347,2880,39467,39467
E1217,Employee_218,Operations,Manager,Active,64365932182,2024-01,4,22,20773,8309,29082,3648,25434,25434
E1218,Employee_219,IT,Officer,Active,27214482781,2024-08,6,6,27786,11114,38900,3859,35041,35041
E1219,Employee_220,IT,Manager,Active,35525741495,2024-01,17,22,33952,13580,47532,1504,46028,46028
E1220,Employee_221,Operations,Analyst,Active,66296774251,2024-11,5,6,30037,12014,42051,2594,39457,39457
E1221,Employee_222,IT,Analyst,Active,26183987292,2024-01,21,45,16885,6754,23639,1121,22518,22518
E1222,Employee_223,HR,Executive,Active,84086051598,2024-02,20,33,22060,8824,30884,3771,27113,27113
E1223,Employee_224,IT,Officer,Active,42416143225,2024-02,4,41,31331,12532,43863,926,42937,42937
E1224,Employee_225,Sales,Executive,Active,31052138697,2024-12,18,18,22844,9137,31981,709,31272,31272
E1225,Employee_226,IT,Analyst,Active,92528674821,2024-06,9,57,37495,14998,52493,1387,51106,51106
E1226,Employee_227,Finance,Manager,Active,78222785911,2024-07,14,8,28450,11380,39830,1943,37887,37887
E1227,Employee_228,HR,Executive,Inactive,22148264041,2024-05,9,47,24491,9796,34287,653,33634,33634
E1228,Employee_229,Finance,Executive,Active,56011323178,2024-01,15,50,33722,13488,47210,914,46296,46296
E1229,Employee_230,Finance,Manager,Inactive,81711759455,2024-01,11,17,24268,9707,33975,3924,30051,30051
E1230,Employee_231,Sales,Executive,Active,24277956542,2024-03,17,40,35142,14056,49198,1680,47518,47518
E1231,Employee_232,HR,Manager,Active,23889481552,2024-02,22,47,36194,14477,50671,1784,48887,48887
E1232,Employee_233,HR,Officer,Active,45265487826,2024-05,0,44,24139,9655,33794,3648,30146,30146
E1233,Employee_234,HR,Manager,Active,30861479327,2024-12,15,41,21791,8716,30507,1268,29239,29239
E1234,Employee_235,HR,Officer,Inactive,33367085346,2024-10,21,24,22171,8868,31039,1482,29557,29557
E1235,Employee_236,HR,Manager,Active,93246139541,2024-06,5,51,34115,13646,47761,2011,45750,45750
E1236,Employee_237,Sales,Analyst,Active,77084569334,2024-07,2,13,32253,12901,45154,3702,41452,41452
E1237,Employee_238,IT,Analyst,Active,54901319628,2024-04,1,43,36550,14620,51170,1078,50092,50092
E1238,Employee_239,Finance,Officer,Active,22874691976,2024-07,1,24,15093,6037,21130,3287,17843,17843
E1239,Employee_240,HR,Officer,Active,11851061777,2024-11,12,18,17987,7194,25181,2710,22471,22471
E1240,Employee_241,IT,Analyst,Active,80027262202,2024-08,8,38,27847,11138,38985,1538,37447,37447
E1241,Employee_242,IT,Officer,Active,45210552136,2024-11,15,54,24967,9986,34953,3803,31150,31150
E1242,Employee_243,Finance,Manager,Active,91119559804,2024-01,4,14,31218,12487,43705,2742,40963,40963
E1243,Employee_244,Sales,Manager,Active,71932778564,2024-06,22,15,25452,10180,35632,1041,34591,34591
E1244,Employee_245,Operations,Analyst,Active,72263692147,2024-08,20,26,23627,9450,33077,858,32219,32219
E1245,Employee_246,Operations,Executive,Active,63968067831,2024-05,6,39,19947,7978,27925,1349,26576,26576
E1246,Employee_247,IT,Manager,Active,76323968494,2024-04,12,9,21651,8660,30311,3902,26409,26409
E1247,Employee_248,Finance,Officer,Active,68945129961,2024-02,19,3,38363,15345,53708,926,52782,52782
E1248,Employee_249,Operations,Executive,Active,44584757272,2024-06,23,50,38178,15271,53449,3044,50405,50405
E1249,Employee_250,IT,Executive,Active,66520158562,2024-06,25,18,37908,15163,53071,3375,49696,49696
E1250,Employee_251,Sales,Manager,Active,93045869615,2024-11,12,27,18144,7257,25401,985,24416,24416
E1251,Employee_252,Operations,Manager,Active,14624852745,2024-01,25,20,34971,13988,48959,2331,46628,46628
E1252,Employee_253,IT,Executive,Active,19599227338,2024-09,6,58,31460,12584,44044,1972,42072,42072
E1253,Employee_254,IT,Executive,Active,56515144276,2024-12,9,46,23959,9583,33542,1936,31606,31606
E1254,Employee_255,HR,Analyst,Active,99972055253,2024-11,14,13,37937,15174,53111,829,52282,52282
E1255,Employee_256,Sales,Officer,Active,62847864710,2024-06,20,32,23297,9318,32615,2255,30360,30360
E1256,Employee_257,HR,Analyst,Active,57398959224,2024-03,5,47,21694,8677,30371,3436,26935,26935
E1257,Employee_258,Finance,Manager,Active,52635781073,2024-04,4,9,30835,12334,43169,3538,39631,39631
E1258,Employee_259,HR,Analyst,Active,54753576719,2024-12,22,18,34257,13702,47959,1670,46289,46289
E1259,Employee_260,HR,Analyst,Active,78761081586,2024-11,1,29,18346,7338,25684,758,24926,24926
E1260,Employee_261,Operations,Analyst,Active,86699333090,2024-04,20,21,38408,15363,53771,2839,50932,50932
